Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
System Idle Process	0.10	0 K	4 K	0		
System	2.32	2 308 K	960 552 K	4		
 Interrupts	0.78	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		364 K	1 048 K	548	Диспетчер сеанса  Windows	Microsoft Corporation
csrss.exe	< 0.01	1 824 K	4 792 K	696	Процесс исполнения клиент-сервер	Microsoft Corporation
wininit.exe		1 096 K	4 024 K	804	Автозагрузка приложений Windows	Microsoft Corporation
 services.exe	< 0.01	4 508 K	8 600 K	876	Приложение служб и контроллеров	Microsoft Corporation
  svchost.exe	< 0.01	11 712 K	25 012 K	992	Хост-процесс для служб Windows	Microsoft Corporation
   RuntimeBroker.exe		17 368 K	45 760 K	12924	Runtime Broker	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	49 796 K	72 916 K	2844	Windows Shell Experience Host	Microsoft Corporation
   ApplicationFrameHost.exe		4 452 K	18 736 K	8452	Application Frame Host	Microsoft Corporation
   RuntimeBroker.exe		12 240 K	38 112 K	15064	Runtime Broker	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	54 836 K	79 304 K	3912	Windows Shell Experience Host	Microsoft Corporation
   SearchUI.exe	Suspended	69 804 K	97 084 K	5112	Search and Cortana application	Microsoft Corporation
   ApplicationFrameHost.exe		4 144 K	17 444 K	9548	Application Frame Host	Microsoft Corporation
   SystemSettingsBroker.exe		2 560 K	12 844 K	14256	System Settings Broker	Microsoft Corporation
   RuntimeBroker.exe		15 052 K	50 104 K	13492	Runtime Broker	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	69 468 K	100 252 K	4376	Windows Shell Experience Host	Microsoft Corporation
   SystemSettingsBroker.exe		2 556 K	13 128 K	14992	System Settings Broker	Microsoft Corporation
   ApplicationFrameHost.exe		17 068 K	31 644 K	12976	Application Frame Host	Microsoft Corporation
   Music.UI.exe	Suspended	34 612 K	30 776 K	15760	Music Application	Microsoft Corporation
   dllhost.exe		6 108 K	12 100 K	10416	COM Surrogate	Microsoft Corporation
   WmiPrvSE.exe		11 484 K	19 436 K	15040	WMI Provider Host	Microsoft Corporation
   SearchUI.exe	Suspended	68 540 K	96 840 K	21300	Search and Cortana application	Microsoft Corporation
   SystemSettings.exe	Suspended	26 924 K	37 900 K	19936	Параметры	Microsoft Corporation
   SkypeHost.exe	Suspended	4 148 K	252 K	6508	Microsoft Skype	Microsoft Corporation
   Calculator.exe		28 816 K	47 008 K	22052		
   SearchUI.exe	Suspended	68 276 K	96 580 K	21408	Search and Cortana application	Microsoft Corporation
  svchost.exe	< 0.01	10 980 K	15 940 K	212	Хост-процесс для служб Windows	Microsoft Corporation
  svchost.exe		16 716 K	26 868 K	1032	Хост-процесс для служб Windows	Microsoft Corporation
